NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,R,PLANETDISCMETH,DATE,MASS
HD 95086 b,,,,,,,,,,Rameau 2013,http://adsabs.harvard.edu/abs/2013arXiv1305.7428R,,Imaging,2013,4.5
HR 8799 b,,67.4293,164253,0,,,,Soummer 2011,http://adsabs.harvard.edu/abs/2011ApJ...741...55S,Marois 2008,http://adsabs.harvard.edu/abs/2008Sci...322.1348M,1.2,Imaging,2008,7
Fomalhaut b,,113.443,318498,0.12,,,,,,Kalas 2008,http://adsabs.harvard.edu/abs/2008Sci...322.1345K,,Imaging,2008,0.5
GJ 504 b,,,,,,,,,,Kuzuhara 2013,http://arxiv.org/abs/1307.2886,,Imaging,2013,4
HR 8799 c,,42.4842,82145,0,,,,Soummer 2011,http://adsabs.harvard.edu/abs/2011ApJ...741...55S,Marois 2008,http://adsabs.harvard.edu/abs/2008Sci...322.1348M,1.2,Imaging,2008,9.5
HR 8799 d,,26.7553,41054,0.1,,,,Soummer 2011,http://adsabs.harvard.edu/abs/2011ApJ...741...55S,Marois 2008,http://adsabs.harvard.edu/abs/2008Sci...322.1348M,1.37,Imaging,2008,9.5
beta Pic b,,8.75626,7154,0.021,215,2453795.5,,Chauvin 2012,http://adsabs.harvard.edu/abs/2012A%26A...542A..41C,Lagrange 2009,http://adsabs.harvard.edu/abs/2009A%26A...493L..21L,,Imaging,2009,9
HR 8799 e,,14.5253,16422,0,,,,Soummer 2011,http://adsabs.harvard.edu/abs/2011ApJ...741...55S,Marois 2010,http://adsabs.harvard.edu/abs/2010Natur.468.1080M,,Imaging,2010,7
MOA-2009-BLG-387L b,,1.76808,1970,,,,,Batista 2011,http://adsabs.harvard.edu/abs/2011A%26A...529A.102B,Batista 2011,http://adsabs.harvard.edu/abs/2011A%26A...529A.102B,,Microlensing,2011,2.6
OGLE-2007-BLG-368L b,,,,,,,,Sumi 2010,http://adsabs.harvard.edu/abs/2010ApJ...710.1641S,Sumi 2010,http://adsabs.harvard.edu/abs/2010ApJ...710.1641S,,Microlensing,2010,0.0629
OGLE-05-169L b,,3.41991,3300,,,,,Gould 2006,http://adsabs.harvard.edu/abs/2006ApJ...644L..37G,Gould 2006,http://adsabs.harvard.edu/abs/2006ApJ...644L..37G,,Microlensing,2006,0.04
OGLE-05-071L b,,3.54863,3600,,,,,Dong 2009,http://adsabs.harvard.edu/abs/2009ApJ...695..970D,Udalski 2005,http://adsabs.harvard.edu/abs/2005ApJ...628L.109U,,Microlensing,2005,3.8
